"iKantam","iKantam"
"Internal SEO Linking","Internal SEO Linking"
"iKantam - Internal SEO Linking","iKantam - Internal SEO Linking"
"Module Options","Module Options"
"Enabled: ","Enabled: "
"Processing Options","Processing Options"
"Max # of replacements per page: ","Max # of replacements per page: "
"Zero or empty for no limit","Zero or empty for no limit"
"Home page: ","Home page: "
"Process home page","Process home page"
"CMS pages: ","CMS pages: "
"Process CMS pages","Process CMS pages"
"Product descriptions: ","Product descriptions: "
"Process product descriptions",""Process product descriptions"
"Category descriptions: ","Category descriptions: "
"Process category descriptions","Process category descriptions"
"Internal SEO Linking Manager","Internal SEO Linking Manager"
"Add New Record","Add New Record"
"ID","ID"
"Keywords","Keywords"
"URL","URL"
"Title","Title"
"Enabled","Enabled"
"No","No"
"Yes","Yes"
"Record Information","Record Information"
"Make it Bold","Make it Bold"
"Use Italics","Use Italics"
"Wrong Internal SEO Link was specified","Wrong Internal SEO Link was specified"
"New Internal SEO Link","New Internal SEO Link"
"Internal SEO Link was successfully saved","Internal SEO Link was successfully saved"
"The Internal SEO Link has been deleted","The Internal SEO Link has been deleted"
"Unable to find an Internal SEO Link to delete","Unable to find an Internal SEO Link to delete"
"Save Record","Save Record"
"Delete Record","Delete Record"
"New Record","New Record"
"Edit Record #%s","Edit Record #%s"
"Exception list: ","Exception list: "
"List URL's (comma separated) that should be excluded from the extension actions","List URL's (comma separated) that should be excluded from the extension actions"
